Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
XXII,"22nd Century Group, Inc",1.99,245681652.8,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii
FAX,Aberdeen Asia-Pacific Income Fund Inc,5.02,1265696736,n/a,1986,n/a,n/a,http://www.nasdaq.com/symbol/fax
IAF,Aberdeen Australia Equity Fund Inc,6.3,143276653.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iaf
CH,"Aberdeen Chile Fund, Inc.",8.835,82675191.15,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ch
ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,14.384,136429550.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abe
FCO,"Aberdeen Global Income Fund, Inc.",9,78523101,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/fco
IF,"Aberdeen Indonesia Fund, Inc.",7.71,71373050.55,n/a,1990,n/a,n/a,http://www.nasdaq.com/symbol/if
ISL,"Aberdeen Israel Fund, Inc.",20.11,79343361.48,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/isl
ACU,Acme United Corporation.,23.6,79578090.8,n/a,1988,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu
ATNM,"Actinium Pharmaceuticals, Inc.",0.62,49215697.96,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnm
AE,"Adams Resources & Energy, Inc.",45.18,190550987.3,n/a,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae
ACY,AeroCentury Corp.,13.2,18700426.8,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/acy
AIRI,Air Industries Group,1.3186,18793768.45,n/a,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/airi
AXU,Alexco Resource Corp,1.25,126469693.8,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axu
ALO,Alio Gold Inc.,3.9,170136954,n/a,2011,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/alo
AAU,"Almaden Minerals, Ltd.",0.9089,92104392.2,n/a,2015,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aau
APT,"Alpha Pro Tech, Ltd.",3.95,59666807.95,n/a,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/apt
AAMC,Altisource Asset Management Corp,80.4,126456094.8,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/aamc
DIT,AMCON Distributing Company,90.4,61375995.2,n/a,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/dit
ALN,American Lorain Corporation,0.26,9951367.4,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/aln
AMS,American Shared Hospital Services,3.0707,17533697,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ams
USAS,Americas Silver Corporation,3.64,148528372.7,n/a,2017,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/usas
AMPE,"Ampio Pharmaceuticals, Inc.",1.16,79149594.44,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ampe
APHB,AmpliPhi Biosciences Corporation,1.02,9457707.24,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aphb
ARNC^,Arconic Inc.,90.7722,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arnc^
AKG,Asanko Gold Inc.,1.01,205484456.6,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/akg
AINC,Ashford Inc.,74.1201,149852608.7,n/a,2014,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/ainc
ASB.WS,Associated Banc-Corp,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asb.ws
AST,"Asterias Biotherapeutics, Inc.",2.35,127014618.9,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ast
AUG,Auryn Resources Inc.,1.5901,124785053.3,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aug
AWX,Avalon Holdings Corporation,2.0648,7853117.849,n/a,n/a,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/awx
ASM,Avino Silver,1.26,66424872.78,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/asm
BTG,B2Gold Corp,2.54,2486955021,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/btg
BTN,"Ballantyne Strong, Inc",6.35,91541854,n/a,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/btn
BKJ,"Bancorp of New Jersey, Inc",17,114021125,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bkj
BCV,Bancroft Fund Limited,21.87,114815313,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bcv
BCV^A,Bancroft Fund Limited,26.16,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bcv^a
BAA,BANRO CORPORATION,0.3081,33816381.57,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/baa
BHB,"Bar Harbor Bankshares, Inc.",30.4,469132800,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bhb
BRN,"Barnwell Industries, Inc.",1.99,16471548.4,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/brn
BGSF,BG Staffing Inc,15.39,134806796.6,n/a,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/bgsf
BPMX,BioPharmX Corporation,0.1746,13910353.19,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bpmx
BTX,"BioTime, Inc.",2.41,305736805.5,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/btx
BTX.WS,"BioTime, Inc.",n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/btx.ws
BGI,Birks Group Inc.,2.15,38615894.15,n/a,n/a,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/bgi
BZM,BlackRock Maryland Municipal Bond Trust,13.84,28776972.24,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/bzm
MHE,BlackRock Massachusetts Tax-Exempt Trust,13.6999,32431882.87,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/mhe
BLE,BlackRock Municipal Income Trust II,14.33,336759714.6,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/ble
BLJ,Blackrock New Jersey Municipal Bond Trust,14.6528,34092801.64,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/blj
BFY,BlackRock New York Municipal Income Trust II,15.03,75219874.47,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/bfy
BHV,BlackRock Virginia Municipal Bond Trust,17.6336,28169746.53,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/bhv
BDR,"Blonder Tongue Laboratories, Inc.",0.4572,3713302.962,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/bdr
BRG,"Bluerock Residential Growth REIT, Inc.",10.97,265393315.7,n/a,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/brg
BRG^A,"Bluerock Residential Growth REIT, Inc.",26.4066,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/brg^a
BRG^C,"Bluerock Residential Growth REIT, Inc.",25.9001,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/brg^c
BRG^D,"Bluerock Residential Growth REIT, Inc.",25.36,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/brg^d
BVX,Bovie Medical Corporation,3.31,102145782.4,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bvx
BWL.A,"Bowl America, Inc.",n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bwl.a
CMCL,Caledonia Mining Corporation Plc,5.4672,57852188.23,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/cmcl
CEI,"Camber Energy, Inc.",0.1694,6440045.751,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cei
CANF,Can-Fite Biopharma Ltd,1.55,25350172.5,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/canf
ROX,"Castle Brands, Inc.",1.18,193880941.9,n/a,2006,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/rox
CAW,"CCA Industries, Inc.",2.95,20669717.8,n/a,n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/caw
CVM,Cel-Sci Corporation,1.71,17240898.87,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cvm
CVM.WS,Cel-Sci Corporation,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cvm.ws
CEF,Central Fund of Canada Limited,13.13,3310283119,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cef
CET,Central Securities Corporation,26.79,664690199.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cet
LEU,Centrus Energy Corp.,3.785,34211672.54,n/a,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/leu
CCF,Chase Corporation,121.05,1133542463,n/a,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ccf
CQH,"Cheniere Energy Partners LP Holdings, LLC",26.24,6079808000,n/a,2013,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqh
CQP,"Cheniere Energy Partners, LP",28.33,13711680933,n/a,2007,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqp
LNG,"Cheniere Energy, Inc.",48.96,11644040030,n/a,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/lng
CVR,Chicago Rivet & Machine Co.,30,28983960,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cvr
CPHI,"China Pharma Holdings, Inc.",0.1671,7282143.975,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cphi
CISN.WS,Cision Ltd.,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cisn.ws
CKX,"CKX Lands, Inc.",10.45,20299072.75,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ckx
GLV,Clough Global Dividend and Income Fund,14.184,147228586.7,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/glv
GLQ,Clough Global Equity Fund,13.78,243094426.9,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/glq
GLO,Clough Global Opportunities Fund,11.54,594991540.9,n/a,2006,n/a,n/a,http://www.nasdaq.com/symbol/glo
COHN,Cohen & Company Inc.,8.91,11255940.63,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cohn
MOC,Command Security Corporation,3.17,31042599.06,n/a,n/a,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/moc
CIX,CompX International Inc.,14.2,176450719.4,n/a,1998,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cix
LODE,"Comstock Mining, Inc.",0.0994,20876688.27,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/lode
CDOR,"Condor Hospitality Trust, Inc.",10.15,118048123.6,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cdor
CTO,Consolidated-Tomoka Land Co.,57.52,321061282.2,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/cto
MCF,Contango Oil & Gas Company,4.15,106280794.5,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mcf
CUO,Continental Materials Corporation,19.44,32701326.48,n/a,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cuo
CMT,Core Molding Technologies Inc,21.25,166992360,n/a,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/cmt
CVRS,"Corindus Vascular Robotics, Inc.",0.9664,181003640.1,n/a,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cvrs
CRMD,CorMedix Inc,0.634,39135323.13,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crmd
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",14.85,327565532.3,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crf
CLM,"Cornerstone Strategic Value Fund, Inc.",15.03,654999764.8,n/a,1987,n/a,n/a,http://www.nasdaq.com/symbol/clm
CVU,"CPI Aerostructures, Inc.",8.75,77409657.5,n/a,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/cvu
CIK,"Credit Suisse Asset Management Income Fund, Inc.",3.33,174131577.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cik
DHY,Credit Suisse High Yield Bond Fund,2.84,284132437.7,n/a,1998,n/a,n/a,http://www.nasdaq.com/symbol/dhy
CRHM,CRH Medical Corporation,1.85,137135390.3,n/a,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/crhm
CRVP,"Crystal Rock Holdings, Inc.",0.72,15378055.92,n/a,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/crvp
CTEK,"CynergisTek, Inc.",2.8135,26733201.76,n/a,2017,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ctek
DXR,Daxor Corporation,4.19,15883259.26,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dxr
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",14.919,72164694.9,n/a,1993,Consumer Services,Miscellaneous,http://www.nasdaq.com/symbol/vcf
VFL,Delaware Investments Florida Insured Municipal Income Fund,13.3043,60247764.2,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/vfl
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",13.82,158998754.5,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/vmm
DLA,"Delta Apparel, Inc.",20.9,156513014.9,n/a,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/dla
DNN,Denison Mine Corp,0.41,229224604.8,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/dnn
DGSE,"DGSE Companies, Inc.",0.9401,25311610.58,n/a,n/a,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/dgse
DPW,Digital Power Corporation,0.6085,8908533.709,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dpw
DSS,"Document Security Systems, Inc.",0.6576,9450963.413,n/a,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/dss
DMF,"Dreyfus Municipal Income, Inc.",8.89,184434438.1,n/a,1988,n/a,n/a,http://www.nasdaq.com/symbol/dmf
GRF,"Eagle Capital Growth Fund, Inc.",8.1764,29344911.54,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/grf
EVM,Eaton Vance California Municipal Bond Fund,11.79,252239362.9,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/evm
EIA,Eaton Vance California Municipal Bond Fund II,11.9,46247636.4,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eia
CEV,Eaton Vance California Municipal Income Trust,12.21,88578360.75,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/cev
EVV,Eaton Vance Limited Duration Income Fund,13.91,1615605020,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/evv
MAB,Eaton Vance Massachusetts Municipal Bond Fund,13.5546,23971499.86,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/mab
MMV,Eaton Vance Massachusetts Municipal Income Trust,13.2777,36341343.73,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/mmv
MIW,Eaton Vance Michigan Municipal Bond Fund,13.41,20115871.65,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/miw
EMI,Eaton Vance Michigan Municipal Income Trust,13.001,26170934.99,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/emi
EIM,Eaton Vance Municipal Bond Fund,12.47,850058077.5,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eim
EIV,Eaton Vance Municipal Bond Fund II,12.25,122663917.3,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eiv
EMJ,Eaton Vance New Jersey Municipal Bond Fund,12.65,32626449.9,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/emj
EVJ,Eaton Vance New Jersey Municipal Income Trust,11.93,54856024.94,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/evj
ENX,Eaton Vance New York Municipal Bond Fund,12.5,195772250,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/enx
NYH,Eaton Vance New York Municipal Bond Fund II,11.6408,29759821.61,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nyh
EVY,Eaton Vance New York Municipal Income Trust,12.95,70910975.45,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/evy
EIO,Eaton Vance Ohio Municipal Bond Fund,12.68,32181079.2,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eio
EVO,Eaton Vance Ohio Municipal Income Trust,13.3399,38114188.66,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/evo
EIP,Eaton Vance Pennsylvania Municipal Bond Fund,12.55,37148502,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eip
EVP,Eaton Vance Pennsylvania Municipal Income Trust,11.89,30926056.46,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/evp
ELMD,"Electromed, Inc.",7.47,61703447.49,n/a,2011,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/elmd
ELLO,Ellomay Capital Ltd.,7.9,84351223,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/ello
ECF,Ellsworth Growth and Income Fund Ltd.,9.312,119905949.4,n/a,1986,n/a,n/a,http://www.nasdaq.com/symbol/ecf
ECF^A,Ellsworth Growth and Income Fund Ltd.,25.03,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ecf^a
EMAN,eMagin Corporation,2.1,73442418,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/eman
MSN,Emerson Radio Corporation,1.455,36366625.02,n/a,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/msn
EMX,EMX Royalty Corporation,0.7461,59300167.52,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/emx
UUUU,Energy Fuels Inc,1.34,96458207.58,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/uuuu
UUUU.WS,Energy Fuels Inc,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/uuuu.ws
ENRJ,"EnerJex Resources, Inc.",0.285,2941598.145,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/enrj
ENSV,ENSERVCO Corporation,0.6487,33127591.04,n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/ensv
ESNC,"EnSync, Inc.",0.4541,25266437.78,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/esnc
EGI,Entree Resources Ltd.,0.4899,85033692.92,n/a,2017,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/egi
EVI,"EnviroStarm, Inc.",25.65,292154962.1,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/evi
ERN,Erin Energy Corp.,2.65,565945641.5,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ern
ESP,Espey Mfg. & Electronics Corp.,23.41,55512624.61,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/esp
EVBN,"Evans Bancorp, Inc.",42.5,202936097.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/evbn
EPM,"Evolution Petroleum Corporation, Inc.",7.2,238080362.4,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/epm
FPP,FieldPoint Petroleum Corporation,0.3181,3393881.745,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/fpp
FPP.WS,FieldPoint Petroleum Corporation,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fpp.ws
FEN,First Trust Energy Income and Growth Fund,22.86,443419466.2,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/fen
BDL,"Flanigan&#39;s Enterprises, Inc.",21.6087,40162945.43,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bdl
FSI,Flexible Solutions International Inc.,1.825,20980183.58,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/fsi
FTF,Franklin Limited Duration Income Trust,11.91,269215140.7,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/ftf
FSP,Franklin Street Properties Corp.,10.35,1109842454,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/fsp
FRD,Friedman Industries Inc.,6.03,42266947.32,n/a,n/a,Capital Goods,Steel/Iron Ore,http://www.nasdaq.com/symbol/frd
GGN,"GAMCO Global Gold, Natural Reources & Income Trust ",5.47,740167968.4,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/ggn
GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust ",24.747,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ggn^b
GST,Gastar Exploration Inc.,0.8011,171393449.6,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gst
GST^A,Gastar Exploration Inc.,17.15,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gst^a
GST^B,Gastar Exploration Inc.,19.35,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gst^b
JOB,GEE Group Inc.,2.89,28549997.88,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/job
GMO,"General Moly, Inc",0.29,32238684.33,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gmo
GSB,"GlobalSCAPE, Inc.",3.99,86071605.69,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gsb
GSAT,"Globalstar, Inc.",1.69,1959396955,n/a,2006,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/gsat
GLOW,"Glowpoint, Inc.",0.2623,9476965.362,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/glow
GORO,Gold Resource Corporation,3.79,215618724.4,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/goro
GSV,Gold Standard Ventures Corporation,1.275,297585855.5,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/gsv
AUMN,Golden Minerals Company,0.4081,37527018.33,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aumn
GSS,"Golden Star Resources, Ltd",0.7999,304426801.9,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gss
GV,Goldfield Corporation (The),5.75,146345285.5,n/a,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/gv
GDP,Goodrich Petroleum Corporation,10.25,108019758.3,n/a,2017,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gdp
GTE,Gran Tierra Energy Inc.,2.2,851119566,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gte
GPL,Great Panther Silver Limited,1.14,191862746.7,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gpl
SIM,"Grupo Simec, S.A. de C.V.",9.64,1599305604,n/a,1993,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/sim
GVP,"GSE Systems, Inc.",3.525,67830397.65,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gvp
HEB,"Hemispherx BioPharma, Inc.",0.32,10022295.04,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/heb
HCAC,Hennessy Capital Acquisition Corp. III,9.81,0,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/hcac
HCAC.U,Hennessy Capital Acquisition Corp. III,n/a,0,n/a,2017,n/a,n/a,http://www.nasdaq.com/symbol/hcac.u
HCAC.WS,Hennessy Capital Acquisition Corp. III,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hcac.ws
HLM^,Hillman Group Capital Trust,34.5055,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hlm^
HMG,"HMG/Courtland Properties, Inc.",11.06,11086455.52,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hmg
HUSA,Houston American Energy Corporation,0.4011,21753544.19,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/husa
IBIO,"iBio, Inc.",0.3,27845553,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ibio
